iter	Passed	Remaining
442	1251	26996
443	1254	26992
444	1256	26981
445	1260	27000
446	1263	27000
447	1267	27016
448	1270	27030
449	1274	27037
450	1276	27030
451	1279	27019
452	1281	27007
453	1284	26999
454	1286	26990
455	1289	26998
456	1293	27001
457	1295	26999
458	1298	27000
459	1302	27005
460	1305	27004
461	1307	26998
462	1310	26996
463	1313	26996
464	1316	26993
465	1319	26986
466	1322	26992
467	1326	27021
468	1330	27030
469	1332	27027
470	1336	27033
471	1338	27026
472	1341	27021
473	1344	27013
474	1346	27002
475	1349	26993
476	1351	26986
477	1354	26979
478	1356	26970
479	1359	26958
480	1361	26945
481	1364	26948
482	1367	26942
483	1370	26940
484	1372	26935
485	1375	26926
486	1378	26921
487	1381	26919
488	1383	26917
489	1386	26912
490	1389	26905
491	1391	26900
492	1394	26893
493	1397	26889
494	1399	26881
495	1402	26878
496	1405	26871
497	1407	26861
498	1410	26850
499	1412	26842
500	1415	26836
501	1418	26840
502	1421	26838
503	1423	26826
504	1426	26818
505	1429	26818
506	1431	26811
507	1434	26804
508	1437	26796
509	1440	26798
510	1442	26792
511	1445	26788
512	1448	26787
513	1451	26784
514	1454	26780
515	1456	26773
516	1459	26767
517	1462	26769
518	1465	26776
519	1468	26767
520	1470	26757
521	1473	26746
522	1475	26742
523	1478	26731
524	1480	26724
525	1484	26732
526	1487	26744
527	1491	26748
528	1493	26745
529	1496	26744
530	1499	26746
531	1502	26736
532	1504	26728
533	1507	26718
534	1510	26718
535	1513	26718
536	1515	26714
537	1518	26711
538	1521	26704
539	1524	26705
540	1527	26713
541	1531	26717
542	1533	26715
543	1536	26706
544	1539	26700
545	1541	26690
546	1544	26683
547	1546	26676
548	1549	26675
549	1552	26680
550	1555	26675
551	1558	26675
552	1561	26676
553	1564	26679
554	1567	26677
555	1570	26676
556	1573	26681
557	1577	26689
558	1580	26690
559	1583	26688
560	1585	26679
561	1588	26674
562	1590	26665
563	1593	26661
564	1596	26657
565	1598	26649
566	1601	26645
567	1604	26644
568	1607	26637
569	1609	26626
570	1612	26623
571	1615	26626
572	1617	26618
573	1620	26609
574	1622	26600
575	1625	26594
576	1628	26591
577	1631	26587
578	1633	26578
579	1635	26566
580	1638	26564
581	1641	26565
582	1644	26562
583	1646	26549
584	1649	26539
585	1651	26529
586	1653	26522
587	1656	26522
588	1659	26523
589	1662	26520
590	1665	26513
591	1667	26502
592	1670	26493
593	1672	26483
594	1675	26476
595	1677	26469
596	1680	26463
597	1683	26463
598	1686	26462
599	1689	26463
600	1692	26473
601	1695	26469
602	1697	26459
603	1700	26450
604	1702	26442
605	1705	26432
606	1708	26430
607	1710	26422
608	1713	26423
609	1716	26429
610	1720	26435
611	1723	26432
612	1725	26426
613	1728	26419
614	1730	26410
615	1733	26403
616	1735	26399
617	1738	26392
618	1741	26389
619	1744	26389
620	1747	26388
621	1750	26385
622	1753	26388
623	1755	26384
624	1758	26379
625	1761	26376
626	1764	26373
627	1767	26370
628	1770	26370
629	1772	26357
630	1775	26357
631	1777	26352
632	1780	26346
633	1782	26338
634	1785	26330
635	1787	26324
636	1790	26318
637	1793	26311
638	1795	26307
639	1798	26299
640	1801	26296
641	1803	26294
642	1807	26301
643	1810	26298
644	1813	26298
645	1816	26304
646	1819	26309
647	1822	26302
648	1825	26298
649	1827	26293
650	1830	26286
651	1833	26284
652	1836	26280
653	1838	26277
654	1841	26268
655	1843	26260
656	1845	26251
657	1848	26241
658	1851	26238
659	1853	26230
660	1856	26228
661	1859	26228
662	1862	26227
663	1865	26224
664	1868	26228
665	1871	26229
666	1874	26228
667	1877	26227
668	1880	26224
669	1882	26219
670	1885	26214
671	1888	26216
672	1891	26214
673	1894	26216
674	1897	26208
675	1900	26209
676	1903	26212
677	1906	26207
678	1908	26200
679	1911	26196
