iter	MAPE	RMSE
0	0.7705254142	262.1607096
1	0.7633370408	259.8944253
2	0.7562207677	257.6705929
3	0.7491803381	255.4548382
4	0.7422105382	253.280986
5	0.7353154232	251.1148192
6	0.728490225	248.9900736
7	0.7217680973	246.9223781
8	0.7150880354	244.8288119
9	0.7084789599	242.7592606
10	0.7019402913	240.713482
11	0.6954676627	238.7069158
12	0.6890662432	236.7076202
13	0.6827314874	234.7314203
14	0.6764604545	232.7934068
15	0.6702911997	230.9109957
16	0.6641841971	229.0476804
17	0.6581126654	227.1756382
18	0.6521066835	225.3255652
19	0.6461679001	223.4815159
20	0.6402926613	221.6591616
21	0.6344798975	219.8582515
22	0.6287281382	218.0786404
23	0.6230384529	216.3200914
24	0.6174091928	214.5837278
25	0.6118394668	212.8666147
26	0.6063287399	211.171317
27	0.6008755419	209.496308
28	0.5954799616	207.8398583
29	0.5901410635	206.2050564
30	0.5848590702	204.5881462
31	0.5796342937	202.9907996
32	0.5743881723	201.4411522
33	0.5692659316	199.8915298
34	0.5641981448	198.3609038
35	0.5600020231	196.9020427
36	0.5550321822	195.4059602
37	0.550122722	193.9172056
38	0.5452673593	192.4457371
39	0.5404895334	191.0291983
40	0.5357406724	189.593451
41	0.531041631	188.1763766
42	0.5270810607	186.8106377
43	0.5224738157	185.4262177
44	0.5179120234	184.0681321
45	0.5133171665	182.7253572
46	0.5088176709	181.3848057
47	0.5044023963	180.0736372
48	0.5000253109	178.7723736
49	0.495623271	177.4900935
50	0.491254474	176.2521994
51	0.4869335804	175.0303616
52	0.4827404888	173.7895413
53	0.4785179422	172.566107
54	0.4744192316	171.3444021
55	0.4703664638	170.137501
56	0.4663591932	168.9461531
57	0.4623621717	167.7577472
58	0.4584052554	166.6076522
59	0.4545270345	165.456376
60	0.4512264181	164.337599
61	0.4473375916	163.219697
62	0.4435356152	162.11592
63	0.439812869	161.0156403
64	0.4361314311	159.9298226
65	0.4324579697	158.8413351
66	0.4287381199	157.8007928
67	0.425144156	156.7365938
68	0.4216185493	155.6996541
69	0.418120526	154.6697208
70	0.4151886996	153.644554
71	0.4122918538	152.6320325
72	0.4088105411	151.6415914
73	0.4059721598	150.6702404
74	0.4031190288	149.7055642
75	0.4002150086	148.7484832
76	0.3969211656	147.7835392
77	0.3936230892	146.8377473
78	0.3903329893	145.9086378
79	0.3876252175	144.9837767
80	0.3843619435	144.0848838
81	0.3811721958	143.1898625
82	0.3785751144	142.2980108
83	0.3754467278	141.4220635
84	0.3724132791	140.5497579
85	0.3698658168	139.6825108
86	0.3668770855	138.8276536
87	0.3643849684	137.9786226
88	0.3614635916	137.1420104
89	0.3585764825	136.3166209
90	0.3561908225	135.4962365
91	0.3538469388	134.6925436
92	0.3510512028	133.8840536
93	0.3487036205	133.0848005
94	0.3459276698	132.2953326
95	0.3436981306	131.5309027
96	0.3414746071	130.7496531
97	0.3387751905	129.9857884
98	0.336129515	129.2536034
99	0.3336261238	128.5038793
100	0.3314334592	127.7598763
101	0.3288444879	127.0290174
102	0.3263185933	126.3059181
103	0.3242355942	125.59334
104	0.3221323642	124.8771461
105	0.3200583219	124.1713858
106	0.3180484703	123.4748131
107	0.3157444022	122.7913422
108	0.3133752745	122.1164101
109	0.3113464174	121.4375165
110	0.3089897224	120.7768481
111	0.3071253636	120.1429037
112	0.3049530189	119.5149189
113	0.3031188728	118.8699333
114	0.3012235885	118.22435
115	0.2994106313	117.5823814
116	0.2971509463	116.9553866
117	0.2953159089	116.330416
118	0.2932632561	115.7404856
119	0.2910160929	115.1308688
120	0.2893256795	114.5588083
121	0.2875755538	113.9763568
122	0.2854835978	113.4006355
123	0.2837584711	112.8147543
124	0.2816715506	112.2384672
125	0.2796462139	111.6714715
126	0.2776315051	111.1157756
127	0.275976362	110.5513662
128	0.2739854044	109.9886871
129	0.2724173342	109.4471653
130	0.270902448	108.9146891
131	0.2690117981	108.3901758
132	0.267114709	107.862117
133	0.2651693377	107.3147696
134	0.2636925069	106.8053171
135	0.2618794606	106.2991581
136	0.2600869571	105.8017604
137	0.2582978848	105.3033201
138	0.2569626255	104.8212193
139	0.2551179629	104.3031927
140	0.2533319876	103.8175799
141	0.2516590645	103.328844
142	0.2502964891	102.8568884
143	0.2489313514	102.3671748
144	0.2475123168	101.8878054
145	0.2457663353	101.3997117
146	0.2443714084	100.9256976
147	0.2426516513	100.4450857
148	0.2412887417	99.98732112
149	0.2396931771	99.53484148
150	0.2383066054	99.07919385
151	0.2366545816	98.62181492
152	0.235012094	98.17712694
153	0.2337045519	97.73450933
154	0.2323887213	97.3050506
155	0.2308285385	96.87453965
156	0.2293238124	96.44367776
157	0.2279390231	96.04036341
158	0.2267029352	95.61663892
159	0.2255382345	95.21542658
160	0.2240066156	94.80229364
161	0.2225325699	94.39805719
162	0.2210953319	94.00318925
163	0.2198900359	93.61054754
164	0.2187734838	93.23245159
165	0.2176472397	92.83258257
166	0.216323856	92.46679384
167	0.2149614811	92.0847193
168	0.2136755959	91.71736486
169	0.2122558037	91.33712328
170	0.2111291585	90.95119425
171	0.2097490259	90.57449919
172	0.2087272782	90.21317922
173	0.2074381622	89.84767194
174	0.2064471841	89.49462286
175	0.2054440407	89.13821387
176	0.2044107739	88.78525056
177	0.2031182267	88.43553474
178	0.2018007697	88.06969633
179	0.2005232842	87.71308671
180	0.1992979801	87.37214889
181	0.1983584036	87.03381402
182	0.197404456	86.69059639
183	0.1961403835	86.35309566
184	0.194995535	86.04024866
185	0.1940751866	85.71933573
186	0.192911912	85.41077937
187	0.1920022361	85.09820876
188	0.1910921369	84.77818651
189	0.1899199945	84.46671945
190	0.1889579813	84.13489381
191	0.188118044	83.82039184
192	0.1869345607	83.5084255
193	0.1857673535	83.18960254
194	0.1846372437	82.87976332
195	0.1836870281	82.57337696
196	0.1826414066	82.28047834
197	0.1818317487	81.98791807
198	0.1809345946	81.69139661
199	0.1798994116	81.39771019
200	0.179112001	81.11355951
201	0.178093484	80.82116542
202	0.1770945405	80.55943116
203	0.1762472283	80.2702076
204	0.1754198127	79.99085049
205	0.1743869023	79.7202043
206	0.1734069755	79.44598493
207	0.1726110536	79.18568445
208	0.1718476727	78.92276785
209	0.1708073986	78.64214748
210	0.169815351	78.3702626
211	0.1689068115	78.12087138
212	0.1679760135	77.8785051
213	0.1670467975	77.61402716
214	0.1660793589	77.36327868
215	0.1651783168	77.11094318
216	0.1644667608	76.85043119
217	0.1637518627	76.58835628
218	0.163035728	76.32862654
219	0.162326634	76.09276853
220	0.1614063748	75.837308
221	0.160750643	75.59061178
222	0.1599097365	75.35637742
223	0.1592130528	75.11234934
224	0.1583756778	74.87498319
225	0.1574706029	74.62871823
226	0.1568134451	74.39520419
227	0.1561504945	74.16113946
228	0.1553195697	73.95766343
229	0.1546683386	73.72507649
230	0.1538077471	73.48835832
231	0.1529526812	73.24828869
232	0.1522919363	73.03191368
233	0.1514549066	72.79955071
234	0.1506494152	72.57998711
235	0.1498939885	72.36870888
236	0.1492958189	72.14908893
237	0.1486322443	71.9274941
238	0.148050529	71.71599118
239	0.1474599014	71.50116445
240	0.1466590444	71.28771562
241	0.1458845232	71.07299914
242	0.1452548933	70.85170201
243	0.1445027641	70.64702115
244	0.1439244355	70.45691755
245	0.1433947902	70.25488227
246	0.1426920239	70.07693696
247	0.1419411536	69.87793275
248	0.1411966556	69.67326503
249	0.1406222929	69.4680495
250	0.1399304664	69.27467112
251	0.139334692	69.06735165
252	0.1387986075	68.87725793
253	0.1380773483	68.68171389
254	0.1373689116	68.4912827
255	0.1367673219	68.32238807
256	0.1360890978	68.1398302
257	0.1355685318	67.95957247
258	0.1350839046	67.77721958
259	0.1344062932	67.59342155
260	0.1337348982	67.4229275
261	0.1331616941	67.23251443
262	0.132539517	67.06322576
263	0.1318814012	66.88777297
264	0.1313479348	66.75454578
265	0.1307534749	66.59650243
266	0.1301266858	66.42139137
267	0.1295565453	66.27009771
268	0.1289363846	66.09446154
269	0.1283619662	65.94045254
270	0.1278875213	65.77451509
271	0.1273000799	65.60956564
272	0.126805404	65.42946175
273	0.1262593267	65.29049986
274	0.1257838346	65.12404983
275	0.12533792	64.96380431
276	0.1247644486	64.81362811
277	0.1242030533	64.65512291
278	0.1237482265	64.48693667
279	0.1231865638	64.33365287
280	0.1227255429	64.17529041
281	0.1222324045	64.05189831
282	0.1218255814	63.89265753
283	0.1213992294	63.72440949
284	0.120904988	63.58394883
285	0.1204219093	63.44259893
286	0.1198655717	63.28782687
287	0.1194563869	63.13045498
